CN,Year,UNU_Key
84596110,1996,1204
84596191,1996,1204
84596199,1996,1204
84596110,1997,1204
84596191,1997,1204
84596199,1997,1204
84596110,1998,1204
84596190,1998,1204
84596110,1999,1204
84596190,1999,1204
84596110,2000,1204
84596190,2000,1204
84596110,2001,1204
84596190,2001,1204
84596110,2002,1204
84596190,2002,1204
84596110,2003,1204
84596190,2003,1204
84596110,2004,1204
84596190,2004,1204
84596110,2005,1204
84596190,2005,1204
84596110,2006,1204
84596190,2006,1204
84596110,2007,1204
84596190,2007,1204
84596110,2008,1204
84596190,2008,1204
84596110,2009,1204
84596190,2009,1204
84596110,2010,1204
84596190,2010,1204
84596110,2011,1204
84596190,2011,1204
84596110,2012,1204
84596190,2012,1204
84596110,2013,1204
84596190,2013,1204
84596110,2014,1204
84596190,2014,1204
84596110,2015,1204
84596190,2015,1204
84596110,2016,1204
84596190,2016,1204
84596110,2017,1204
84596190,2017,1204
84596110,2018,1204
84596190,2018,1204
84596910,1993,1204
84596991,1993,1204
84596999,1993,1204
84596910,1994,1204
84596991,1994,1204
84596999,1994,1204
84596910,1995,1204
84596991,1995,1204
84596999,1995,1204
84596910,1996,1204
84596991,1996,1204
84596999,1996,1204
84596910,1997,1204
84596991,1997,1204
84596999,1997,1204
84596910,1998,1204
84596990,1998,1204
84596910,1999,1204
84596990,1999,1204
84596910,2000,1204
84596990,2000,1204
84596910,2001,1204
84596990,2001,1204
84596910,2002,1204
84596990,2002,1204
84596910,2003,1204
84596990,2003,1204
84596910,2004,1204
84596990,2004,1204
84596910,2005,1204
84596990,2005,1204
84596910,2006,1204
84596990,2006,1204
84596910,2007,1204
84596990,2007,1204
84596910,2008,1204
84596990,2008,1204
84596910,2009,1204
84596990,2009,1204
84596910,2010,1204
84596990,2010,1204
84596910,2011,1204
84596990,2011,1204
84596910,2012,1204
84596990,2012,1204
84596910,2013,1204
84596990,2013,1204
84596910,2014,1204
84596990,2014,1204
84596910,2015,1204
84596990,2015,1204
84596910,2016,1204
84596990,2016,1204
84596910,2017,1204
84596990,2017,1204
84596910,2018,1204
84596990,2018,1204
84597000,1993,1204
84597000,1994,1204
84597000,1995,1204
84597000,1996,1204
84597000,1997,1204
84597000,1998,1204
84597000,1999,1204
84597000,2000,1204
84597000,2001,1204
84597000,2002,1204
84597000,2003,1204
84597000,2004,1204
84597000,2005,1204
84597000,2006,1204
84597000,2007,1204
84597000,2008,1204
84597000,2009,1204
84597000,2010,1204
84597000,2011,1204
84597000,2012,1204
84597000,2013,1204
84597000,2014,1204
84597000,2015,1204
84597000,2016,1204
84597000,2017,1204
84597000,2018,1204
84601100,1993,1204
84601100,1994,1204
84601100,1995,1204
84601100,1996,1204
84601100,1997,1204
84601100,1998,1204
84601100,1999,1204
84601100,2000,1204
84601100,2001,1204
84601100,2002,1204
84601100,2003,1204
84601100,2004,1204
84601100,2005,1204
84601100,2006,1204
84601100,2007,1204
84601100,2008,1204
84601100,2009,1204
84601100,2010,1204
84601100,2011,1204
84601100,2012,1204
84601100,2013,1204
84601100,2014,1204
84601100,2015,1204
84601100,2016,1204
84601900,1993,1204
84601900,1994,1204
84601900,1995,1204
84601900,1996,1204
84601900,1997,1204
84601900,1998,1204
84601900,1999,1204
84601900,2000,1204
84601900,2001,1204
